Facility Code,Station Name,Display Name,Postcode,Postcode,Latitude,Longitude,Maximum Capacity (MW),Fuel Tech,2nd Fuel,3rd Fuel,State
ALBANY_WF1,ALBANY,Albany Wind Farm,WA,6330,-35.0658354,117.7975063,21.6,wind,,,Commissioned
GRASMERE_WF1,GRASMERE,Grasmere Wind Farm,WA,6330,-35.0658354,117.7975063,13.8,wind,,,Commissioned
ALCOA_KW_IL,ALCOA_KW_IL,Alcoa Kwinana Refinery,WA,6165,-32.1905786,115.7783316,,industrial_load,,,Commissioned
ALCOA_PNJ_IL,ALCOA_PNJ_IL,Aloca Pinjarra Alumina Refinery,WA,6208,-32.6422483,115.9464066,,industrial_load,,,Commissioned
ALCOA_WGP,ALCOA_WGP,Alcoa Wagerup Power Station,WA,6215,-32.9043187,115.9204307,26,gas_ocgt,,,Commissioned
ALCOA_WGP_IL,ALCOA_WGP_IL,Aloca Wagerup Alumina Refinery,WA,6215,-32.9043187,115.9204307,,industrial_load,,,Commissioned
ALINTA_PNJ_U1,ALINTA_PNJ,Pinjara Power Station,WA,6208,-32.6471604,115.9468512,143,gas_ocgt,,,Commissioned
ALINTA_PNJ_U2,ALINTA_PNJ,Pinjara Power Station,WA,6208,-32.6471604,115.9468512,143,gas_ocgt,,,Commissioned
ALINTA_WGP_GT,ALINTA_WGP,Wagerup Power Station,WA,6215,-32.9043187,115.9204307,195.152,gas_ocgt,distillate,,Commissioned
ALINTA_WGP_U2,ALINTA_WGP,Wagerup Power Station,WA,6215,-32.9043187,115.9464066,196.848,gas_ocgt,distillate,,Commissioned
ALINTA_WWF,ALINTA_WWF,Walkaway Wind Farm,WA,6528,-28.9024923,114.8927165,89.1,wind,,,Commissioned
BADGINGARRA_WF1,BADGINGARRA,Badgingarra Wind Farm,WA,6521,-30.4399239,115.3240452,130,wind,,,Commissioned
AMAUST_DSP_01,AMAUST_DSP_01,Amanda Australia Demand Side Management 1,WA,6159,,,,dsm,,,
AMAUST_DSP_02,AMAUST_DSP_02,Amanda Australia Demand Side Management 2,WA,6159,,,,dsm,,,
ADERRTL_DSP_01,ADERRTL_DSP_01,Amanda Energy Demand Side Management,WA,6159,,,,dsm,,,
